campaign_type,prior_value_quartile,redeemed_flag,household_campaign_exposures,avg_pre_spend,avg_post_spend,avg_spend_change,avg_pre_baskets,avg_post_baskets,avg_basket_change
TypeA,1,0,947,33.652840549102464,81.00338965153118,47.350549102428666,2.6937697993664202,3.6779303062302007,0.9841605068637803
TypeA,1,1,50,45.6748,177.2444,131.56959999999998,2.94,5.32,2.38
TypeA,2,0,876,124.60730593607298,147.30506849315083,22.697762557077613,6.098173515981735,6.333333333333333,0.23515981735159816
TypeA,2,1,118,131.11940677966098,199.53881355932216,68.41940677966105,5.796610169491525,6.610169491525424,0.8135593220338984
TypeA,3,0,801,239.4848439450686,225.17267166042473,-14.312172284644166,8.088639200998752,7.747815230961298,-0.3408239700374532
TypeA,3,1,193,248.56917098445615,297.4912435233159,48.92207253886013,8.518134715025907,8.544041450777202,0.025906735751295335
TypeA,4,0,720,489.49498611111096,406.5939166666669,-82.90106944444445,13.458333333333334,12.20138888888889,-1.2569444444444444
TypeA,4,1,274,505.6403649635038,482.59916058394185,-23.04120437956207,12.288321167883211,11.521897810218977,-0.7664233576642335
TypeB,1,0,646,76.21862229102163,130.55320433436526,54.33458204334371,4.174922600619195,4.961300309597523,0.7863777089783281
TypeB,1,1,25,79.54679999999998,200.22240000000002,120.67559999999997,4.96,6.56,1.6
TypeB,2,0,613,206.91495921696583,224.34933115823824,17.43437194127244,7.398042414355628,7.411092985318108,0.013050570962479609
TypeB,2,1,54,211.71018518518525,288.9340740740741,77.22388888888891,7.185185185185185,8.074074074074074,0.8888888888888888
TypeB,3,0,604,351.0022516556294,336.95599337748337,-14.04625827814571,10.428807947019868,9.869205298013245,-0.5596026490066225
TypeB,3,1,56,368.1610714285716,361.89392857142866,-6.267142857142879,9.982142857142858,9.214285714285714,-0.7678571428571429
TypeB,4,0,582,641.39498281787,559.3678178694154,-82.02716494845355,15.554982817869416,14.151202749140893,-1.4037800687285222
TypeB,4,1,75,653.7517333333337,567.6437333333337,-86.10800000000005,14.68,13.786666666666667,-0.8933333333333333
TypeC,1,0,141,77.1094326241135,165.2758156028368,88.16638297872342,4.042553191489362,5.716312056737588,1.673758865248227
TypeC,1,1,4,106.19249999999997,124.25,18.05750000000004,3.25,5.0,1.75
TypeC,2,0,132,209.11999999999995,238.4448484848486,29.32484848484852,8.583333333333334,7.931818181818182,-0.6515151515151515
TypeC,2,1,11,209.45818181818183,330.6763636363637,121.21818181818189,7.090909090909091,8.454545454545455,1.3636363636363635
TypeC,3,0,131,355.813893129771,358.5423664122138,2.72847328244277,10.244274809160306,10.305343511450381,0.061068702290076333
TypeC,3,1,12,370.0225000000001,459.0958333333336,89.07333333333344,8.416666666666666,10.25,1.8333333333333333
TypeC,4,0,126,667.0311111111112,607.5390476190477,-59.49206349206355,14.904761904761905,14.023809523809524,-0.8809523809523809
TypeC,4,1,17,704.389411764706,645.8923529411768,-58.497058823529336,14.411764705882353,13.764705882352942,-0.6470588235294118
